Navn,OrgNr,NACE_kode,NACE_beskrivelse,AntallAnsatte,aar,driftsinntekter,driftskostnad,driftsresultat,%Driftsmargin_BMRFY,finansinntekter,finanskostnader,%NettoFinansMargin_BMRFY,nettofinans,resultatFørSkatt,%ResultatFørSkatt_BMRFY,aarsresultat,%nettoresultatmargin_BMRFY,totalresultat,anleggsmidler,omlopsmidler,%likviditetsgrad_BMRFY,sumEiendeler,%ROA_BMRFY,innskuttEgenkapital,egenkapital,%egenkapitalandel_BMRFY,%ROE_BMRFY,sumGjeld,%gearing_BMRFY,%Gjeldsgrad_BMRFY,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,omsetningPerAnsatt_BMRFY
0-100 BILVERKSTED AS,927444550,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,4130228,4886716,-756488,"-18,32 %",206,1642,"-0,03 %",-1436,-757923,"-18,35 %",-757923,"-18,35 %",-757923,246100,1138856,"50,73 %",1384957,"-54,73 %",,-860114,"-62,10 %","88,12 %",2245070,"162,10 %","-261,02 %",1384957,0,2245070,688371
3D DETAILING & BILPLEIE AS,924520760,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,4875115,4599634,275481,"5,65 %",781,45509,"-0,92 %",-44728,230754,"4,73 %",230754,"4,73 %",230753,67217,650599,"82,09 %",717816,"32,15 %",,-356107,"-49,61 %","-64,80 %",1073923,"149,61 %","-301,57 %",717816,281400,792523,812519
A.M AUTOSALG AS,919478853,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",5,2023,23439588,22082254,1357335,"5,79 %",4401,383838,"-1,62 %",-379436,977898,"4,17 %",760036,"3,24 %",,4610549,6969277,"178,69 %",11579826,"6,56 %",,3448632,"29,78 %","22,04 %",8131195,"70,22 %","235,78 %",11579826,4230944,3900251,4687918
A/S SØRENSEN OG BALCHEN,916591144,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",76,2023,591429945,461428580,130001365,"21,98 %",31881578,685524,"5,27 %",31196054,161197419,"27,26 %",126342086,"21,36 %",,250827688,314631663,"132,44 %",565459351,"22,34 %",,327891879,"57,99 %","38,53 %",237567472,"42,01 %","72,45 %",565459351,0,237567472,7781973
AAGE VOLD AUTOSALG AS,912818179,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",16,2023,77569695,78225819,-656124,"-0,85 %",8800,516112,"-0,65 %",-507313,-1163436,"-1,50 %",-1147509,"-1,48 %",,1052559,17232880,"295,11 %",18285439,"-6,28 %",,7413655,"40,54 %","-15,48 %",10871784,"59,46 %","146,65 %",18285439,5032400,5839384,4848106
AARHAUGS BILVERKSTED AS,982916704,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,9029631,8789750,239880,"2,66 %",6211,419535,"-4,58 %",-413324,-173444,"-1,92 %",-173444,"-1,92 %",,461775,3795818,"242,58 %",4257593,"-4,07 %",,-280466,"-6,59 %","61,84 %",4538059,"106,59 %","-1618,04 %",4257593,2973278,1564781,1003292
AARNES AS AMERIKANSKE BILDELER,930055395,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",11,2023,25166211,24817485,348726,"1,39 %",174932,210542,"-0,14 %",-35610,313116,"1,24 %",243080,"0,97 %",243080,5770311,16255967,"440,81 %",22026278,"1,10 %",,15278542,"69,37 %","1,59 %",6747736,"30,63 %","44,16 %",22026278,3060000,3687736,2287837
AARS AS,993853712,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",24,2023,35000000,118000000,-83000000,"-237,14 %",1938000000,44000000,"5411,43 %",1894000000,1811000000,"5174,29 %",1767000000,"5048,57 %",,6039000000,7112000000,"1932,61 %",13151000000,"13,44 %",,12750000000,"96,95 %","13,86 %",401000000,"3,05 %","3,15 %",13151000000,33000000,368000000,1458333
AASEN BIL AS,957129188,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",21,2023,97226955,98596647,-1369693,"-1,41 %",20903,288852,"-0,28 %",-267950,-1637643,"-1,68 %",-1282545,"-1,32 %",-1282545,3291008,32250345,"144,45 %",35541353,"-3,61 %",,13215711,"37,18 %","-9,70 %",22325642,"62,82 %","168,93 %",35541353,0,22325642,4629855
AASEN BIL OG LANDBRUK AS,864346812,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",13,2023,31963793,29341660,2622133,"8,20 %",8062,-417970,"-1,28 %",-409908,2212225,"6,92 %",2165892,"6,78 %",,980036,14789153,"217,81 %",15769189,"13,73 %",,4543102,"28,81 %","47,67 %",11226086,"71,19 %","247,10 %",15769189,4436231,6789856,2458753
