Navn,OrgNr,NACE_kode,NACE_beskrivelse,aar,AntallAnsatte,driftsinntekter,driftskostnad,driftsresultat,%driftsmargin,finansinntekter,finanskostnader,nettofinans,%nettoFinansMargin,resultatFørSkatt,%resultatFørSkatt,aarsresultat,%aarsResultat,totalresultat,anleggsmidler,omlopsmidler,sumEiendeler,%ROA,innskuttEgenkapital,egenkapital,%ROE,%egenkapitalAndel,sumGjeld,%gjeldsgrad,%gearing,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,%likviditetsgrad,omsetningPrAnsatt,HarRegnskap2023Og2024
0-100 BILVERKSTED AS,927444550,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,6487309,7101226,-613918,"-9,46 %",3163,5454,-2290,"-0,04 %",-616208,"-9,50 %",-616208,"-9,50 %",-616208,270900,1442112,1713012,"-35,97 %",1088337,-1476322,"41,74 %","-86,18 %",3189334,"-216,03 %","186,18 %",1713012,0,3189334,"45,22 %",1297462,1
1DEKKBUTIKK.NO AS,932853965,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,6,9524288,8986253,538035,"5,65 %",32731,71511,-38780,"-0,41 %",499254,"5,24 %",388579,"4,08 %",388579,1005996,2419651,3425647,"11,34 %",30000,410615,"94,63 %","11,99 %",3015032,"734,27 %","88,01 %",3425647,665984,2349048,"103,01 %",1587381,0
3D DETAILING & BILPLEIE AS,924520760,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,5065962,5160182,-94221,"-1,86 %",2163,33352,-31188,"-0,62 %",-125409,"-2,48 %",-125409,"-2,48 %",-125409,33655,475885,509540,"-24,61 %",224430,-481516,"26,04 %","-94,50 %",991055,"-205,82 %","194,50 %",509540,75000,916055,"51,95 %",506596,1
4DEKK AS,916690142,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,7158776,6639741,519035,"7,25 %",808,1191,-383,"-0,01 %",518652,"7,24 %",483506,"6,75 %",,443602,1586071,2029673,"23,82 %",30000,496111,"97,46 %","24,44 %",1533561,"309,12 %","75,56 %",2029672,474300,1059261,"149,73 %",1193129,0
5 STARS SERVICES AS,933582086,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,1826064,1637472,188592,"10,33 %",0,2514,-2514,"-0,14 %",186078,"10,19 %",156973,"8,60 %",,156535,335379,491914,"31,91 %",24216,181189,"86,63 %","36,83 %",310726,"171,49 %","63,17 %",491915,3802,306924,"109,27 %",365213,0
A AUTOPARK AS,919580526,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,66850826,61958257,4892569,"7,32 %",80340,114499,-34159,"-0,05 %",4858410,"7,27 %",3788908,"5,67 %",3788908,505820,8878990,9384810,"40,37 %",24430,3818908,"99,21 %","40,69 %",5565902,"145,75 %","59,31 %",9384810,3115761,2450140,"362,39 %",13370165,0
A/S SØRENSEN OG BALCHEN,916591144,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,85,668616628,523454924,145161704,"21,71 %",34876070,356990,34519080,"5,16 %",179680784,"26,87 %",140718368,"21,05 %",,251181214,366471718,617652932,"22,78 %",75920000,118754441,"118,50 %","19,23 %",498898491,"420,11 %","80,77 %",617652932,0,498898491,"73,46 %",7866078,1
AAGE VOLD AUTOSALG AS,912818179,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,16,88752917,87869778,883139,"1,00 %",2,748655,-748653,"-0,84 %",134486,"0,15 %",134486,"0,15 %",,961565,20626724,21588289,"0,62 %",100000,7548141,"1,78 %","34,96 %",14040148,"186,01 %","65,04 %",21588289,10883759,3156389,"653,49 %",5547057,1
AALESUND BILVERKSTED AS,933867927,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,837794,953862,-116068,"-13,85 %",1,186,-185,"-0,02 %",-116252,"-13,88 %",-116252,"-13,88 %",,501240,866172,1367411,"-8,50 %",594216,477964,"-24,32 %","34,95 %",889448,"186,09 %","65,05 %",1367412,492519,396929,"218,22 %",167559,0
AARHAUGS BILVERKSTED AS,982916704,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,8892795,8786775,106020,"1,19 %",7751,323295,-315544,"-3,55 %",-209524,"-2,36 %",-209524,"-2,36 %",,432837,3871758,4304595,"-4,87 %",151105,-489990,"42,76 %","-11,38 %",4794585,"-978,51 %","111,38 %",4304595,2907410,1887175,"205,16 %",988088,1
