organisasjonsnummer,navn,naeringskode,naeringsbeskrivelse,organisasjonsform,kommunenavn,postnummer,poststed,konkurs,under_avvikling,regnskapsaar,fra_dato,til_dato,regnskapstype,oppstillingsplan,sum_driftsinntekter,sum_driftskostnad,driftsresultat,sum_finansinntekter,sum_finanskostnad,ordinaert_resultat_foer_skatt,aarsresultat,sum_eiendeler,sum_anleggsmidler,sum_omloepsmidler,sum_egenkapital,sum_gjeld,sum_kortsiktig_gjeld,sum_langsiktig_gjeld
971096187,1000 FIX Arild Libekk,47.810,Detaljhandel med motorvogner,ENK,HAMAR,2322,RIDABU,False,False,,,,,,,,,,,,,,,,,,,
883432932,102 OKTAN Christer Lundem,47.810,Detaljhandel med motorvogner,ENK,FREDRIKSTAD,1610,FREDRIKSTAD,False,False,,,,,,,,,,,,,,,,,,,
934792203,111 HOLDING AS,47.810,Detaljhandel med motorvogner,AS,LILLESTRØM,2004,LILLESTRØM,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,,5790.0,-5790.0,,,-5790.0,-5790.0,24210.0,0.0,24210.0,24210.0,0.0,,0.0
994986775,123BILMEGLER HARDANGER AS,47.810,Detaljhandel med motorvogner,AS,KVAM,5610,ØYSTESE,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,5539565.0,5836070.0,-296505.0,887.0,99419.0,-395038.0,-395038.0,1000580.0,21521.0,979059.0,-273481.0,1274060.0,990586.0,283474.0
930261629,1779 INVEST RISE,47.810,Detaljhandel med motorvogner,ENK,HALDEN,1779,HALDEN,False,False,,,,,,,,,,,,,,,,,,,
928565548,24/7 BILSERVICE NOWROZI,47.810,Detaljhandel med motorvogner,ENK,AURSKOG-HØLAND,1963,FOSSER,False,False,,,,,,,,,,,,,,,,,,,
936995934,24/7 FLEX BILHANDEL BAGDONAVICIUS,47.810,Detaljhandel med motorvogner,ENK,ÅS,1407,VINTERBRO,False,False,,,,,,,,,,,,,,,,,,,
821039312,356 HOLDING AS,47.810,Detaljhandel med motorvogner,AS,OSLO,0679,OSLO,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,,76029.0,-76029.0,80943.0,23051269.0,-23046355.0,-21840486.0,134514118.0,133445064.0,1069054.0,2489018.0,132025100.0,44900000.0,87125100.0
918755675,3B AUTO AS,47.810,Detaljhandel med motorvogner,AS,VESTNES,6390,VESTNES,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,13507728.0,13327022.0,180706.0,0.0,207053.0,-26347.0,-17086.0,3348401.0,587518.0,2760883.0,1145404.0,2202997.0,1706719.0,496278.0
886309902,3B AUTO Bjørne Chr Bjørnesen,47.810,Detaljhandel med motorvogner,ENK,VESTNES,6390,VESTNES,False,False,,,,,,,,,,,,,,,,,,,
924446021,3M AUTOSPORT AS,47.810,Detaljhandel med motorvogner,AS,ULLENSAKER,2040,KLØFTA,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,0.0,6900.0,-6900.0,,0.0,-6900.0,-6900.0,15044.0,0.0,15044.0,-60994.0,76038.0,76038.0,0.0
933198014,4 HJUL AUTO AS,47.810,Detaljhandel med motorvogner,AS,BØMLO,5427,URANGSVÅG,False,False,2025,2025-01-01,2025-12-31,SELSKAP,store,3593952.0,3632608.0,-38656.0,70.0,25084.0,-63670.0,-63670.0,426893.0,,426893.0,66274.0,360619.0,15619.0,345000.0
