organisasjonsnummer,navn,naeringskode1,naeringskode1_beskrivelse,naeringskode2,naeringskode2_beskrivelse,naeringskode3,naeringskode3_beskrivelse,organisasjonsform,forretningsadresse,forretningsadresse_postnummer,forretningsadresse_poststed,forretningsadresse_kommune,forretningsadresse_kommunenummer,postadresse_postnummer,postadresse_poststed,antall_ansatte,stiftelsesdato,registreringsdato,hjemmeside,telefon,mobil,epostadresse,er_i_konsern,overordnet_enhet,kapital_belop,kapital_type,kapital_valuta,siste_innsendte_aarsregnskap,institusjonell_sektor,institusjonell_sektor_beskrivelse,registrert_i_mva,registrert_i_foretaksregisteret,konkurs,under_avvikling,under_tvangsavvikling,antall_underenheter,hentet_dato
916218753,BERTEL O STEEN AS,46.710,Engroshandel med motorvogner,46.720,Engroshandel med deler og utstyr for motorvogner,,,AS,Solheimveien 7,1461,LØRENSKOG,LØRENSKOG,3222,1471,LØRENSKOG,475,1956-10-01,1995-02-19,www.bos.no,67 92 60 00,,,True,,390000000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,3,2026-04-11
943733988,Harald A Møller AS,46.710,Engroshandel med motorvogner,46.720,Engroshandel med deler og utstyr for motorvogner,95.310,Reparasjon og vedlikehold av motorvogner,AS,Frysjaveien 31,0884,OSLO,OSLO,0301,0609,OSLO,385,1936-04-18,1995-02-19,www.moller.no,24 03 33 00,,,True,,79014000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,5,2026-04-11
811569062,BERGEN BILFORRETNING OMER SHEVAN OMER MOHAMMED,47.810,Detaljhandel med motorvogner,,,,,ENK,Barliveien 21,5142,FYLLINGSDALEN,BERGEN,4601,,,,,2013-02-23,,,,,False,,,,,,8200,Personlig næringsdrivende,True,True,False,False,False,1,2026-04-11
811690252,BRUKTBIL FORUM/ELZABOUT,47.810,Detaljhandel med motorvogner,,,,,ENK,Bergemoveien 3,4886,GRIMSTAD,GRIMSTAD,4202,4885,GRIMSTAD,,,2013-03-12,,,967 22 888,bruktbilforum@yahoo.no,False,,,,,,8200,Personlig næringsdrivende,True,True,False,False,False,1,2026-04-11
812301292,CAR OUTLET NORWAY - ELECTRIC CITY AS,46.710,Engroshandel med motorvogner,,,,,AS,Gjellebekkstubben 17,3420,LIERSKOGEN,LIER,3312,3421,LIERSKOGEN,,2013-07-02,2013-08-13,,32 85 34 00,,,False,,150000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
812317202,GEIR BAKKEN BIL OG MASKIN,47.810,Detaljhandel med motorvogner,,,,,ENK,Fossveien 10,3370,VIKERSUND,MODUM,3316,,,,,2013-08-22,,,901 08 311,gebakk71@gmail.com,False,,,,,,8200,Personlig næringsdrivende,True,True,False,False,False,1,2026-04-11
812589342,SENTRAL BIL AS,47.810,Detaljhandel med motorvogner,,,,,AS,Kloppaveien 18,1472,FJELLHAMAR,LØRENSKOG,3222,,,7,2013-09-02,2013-10-15,www.sentralbil.no,,993 22 946,info@sentralbil.no,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
812780212,SAVIOR AS,47.810,Detaljhandel med motorvogner,,,,,AS,Lundgårds vei 43,1710,SARPSBORG,SARPSBORG,3105,,,,2013-10-30,2013-11-21,,,907 27 250,johansome@hotmail.com,False,,30000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
812833472,NITHO FETSUND AS,47.810,Detaljhandel med motorvogner,,,,,AS,Tienveien 1,1900,FETSUND,LILLESTRØM,3205,,,,1976-12-20,1995-02-19,,63 84 50 69,,,False,,100000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,True,True,False,False,False,1,2026-04-11
813017792,VHØ HOLDING AS,47.810,Detaljhandel med motorvogner,,,,,AS,Vangsvegen 503,2322,RIDABU,HAMAR,3403,,,,2013-12-17,2014-01-04,,,909 04 155,,False,,300000.00,Aksjekapital,NOK,2024,2100,Private aksjeselskaper mv.,False,True,False,False,False,,2026-04-11
