organisasjonsnummer,navn,naeringskode,organisasjonsform,kommune,postnummer,poststed,antall_ansatte,overordnet_enhet,er_i_konsern,regnskapsaar,fra_dato,til_dato,regnskapstype,oppstillingsplan,sum_driftsinntekter,sum_driftskostnad,driftsresultat,sum_finansinntekter,sum_finanskostnad,ordinaert_resultat_foer_skatt,aarsresultat,sum_eiendeler,sum_anleggsmidler,sum_omloepsmidler,sum_egenkapital,sum_gjeld,sum_kortsiktig_gjeld,sum_langsiktig_gjeld,pdf_aar_tilgjengelig,hentet_dato
813523272,CHRISTIAN AASBØ AS,47.810,AS,GJERSTAD,4993,SUNDEBRU,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,14479663.0,13408928.0,1070735.0,1176615.0,9.0,2247341.0,1993964.0,15559637.0,226641.0,15332996.0,15078500.0,481137.0,481137.0,,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
815722752,AUTO K AS,47.810,AS,VENNESLA,4707,VENNESLA,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,600632.0,297467.0,303165.0,970.0,,304135.0,237310.0,421889.0,13347.0,408542.0,277315.0,144574.0,144574.0,,2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
816598532,AUTOROLA AS,46.710,AS,LILLESTRØM,2003,LILLESTRØM,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,963397.0,2555255.0,-1591858.0,55666.0,9678.0,-1545870.0,-1545870.0,1319081.0,,1319081.0,293352.0,1025729.0,1025729.0,,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
816916402,WILLIAMS CARAVAN AS,47.810,AS,RÅDE,1640,RÅDE,23,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,120775729.0,112397711.0,8378018.0,23831.0,296556.0,8105293.0,6330935.0,21558571.0,464878.0,21093693.0,6330935.0,15227635.0,6705517.0,8522118.0,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
818455992,JP AUTOSALG AS,47.810,AS,MELHUS,7234,LER,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,1333890.0,1350268.0,-16378.0,2354.0,35.0,-14059.0,-14059.0,604179.0,0.0,604179.0,28913.0,575266.0,575266.0,,2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
819018952,UNIVERSAL EXPORTS VWP AS,46.710,AS,LARVIK,3257,LARVIK,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,4525224.0,3395410.0,1129814.0,2605.0,97603.0,1034816.0,806251.0,7158139.0,6184201.0,973938.0,2037089.0,5121050.0,1134152.0,,2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
820444612,STRADA HOLDING AS,47.810,AS,TRONDHEIM,7061,TRONDHEIM,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,26926571.0,25124132.0,1802439.0,1007.0,125363.0,1678083.0,1605304.0,15517178.0,2000.0,15515178.0,13353295.0,2163883.0,2163443.0,,2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
822298982,BACKYARD ENGINEERING AS,47.810,AS,FREDRIKSTAD,1622,GRESSVIK,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,456614.0,667864.0,-211250.0,0.0,0.0,-211250.0,-211250.0,226290.0,25077.0,201213.0,-182028.0,408318.0,408318.0,0.0,2019|2020|2021|2022|2023|2024|2025,2026-04-11
824505632,BORG BILSENTER AS,47.810,AS,SARPSBORG,1739,BORGENHAUGEN,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,12742983.0,12436906.0,306077.0,280.0,169626.0,136731.0,106491.0,3297379.0,483100.0,2814279.0,1206988.0,2090391.0,1611555.0,,2020|2021|2022|2023|2024|2025,2026-04-11
825021302,UELAND INVEST AS,47.810,AS,HÅ,4360,VARHAUG,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,,13755.0,-13755.0,,1.0,-13756.0,-13756.0,153540.0,149194.0,4346.0,-39885.0,193425.0,193425.0,,2020|2021|2022|2023|2024|2025,2026-04-11
825448462,SIGMA TRADING AS,47.810,AS,BERGEN,5224,NESTTUN,10,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,47437435.0,47234909.0,202526.0,5739.0,383735.0,-175470.0,-189036.0,3492954.0,185898.0,3307056.0,676409.0,2816545.0,2816545.0,,2020|2021|2022|2023|2024|2025,2026-04-11
825477462,BESTUL BIL AS,47.810,AS,HOLE,3530,RØYSE,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,113408312.0,101724671.0,11683641.0,660609.0,1981572.0,10362678.0,8063925.0,34521732.0,1773877.0,32747855.0,12092904.0,22428828.0,13156485.0,9272343.0,2020|2021|2022|2023|2024|2025,2026-04-11
826572272,GOLDEN CARS AS,47.810,AS,RÅDE,1640,RÅDE,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,25346668.0,18843360.0,6503307.0,8234.0,2594.0,6508948.0,5067346.0,7636543.0,964766.0,6671777.0,4504205.0,3132338.0,3110375.0,,2021|2022|2023|2024|2025,2026-04-11
826867132,EL AUTO AS,47.810,AS,NORDRE FOLLO,1410,KOLBOTN,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,938860.0,1272480.0,-333620.0,5098.0,,-328522.0,-328522.0,2843118.0,2537223.0,305895.0,-1340986.0,4184104.0,135377.0,4048727.0,2021|2022|2023|2024|2025,2026-04-11
830007652,A&E COMPANY AS,47.810,AS,FREDRIKSTAD,1663,ROLVSØY,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,12881136.0,12582506.0,298630.0,13132.0,62093.0,249669.0,226555.0,456244.0,3424.0,452820.0,151434.0,304810.0,34312.0,270498.0,2022|2023|2024|2025,2026-04-11
830950702,REP TEKNIKK AS,47.810,AS,ØYGARDEN,5357,FJELL,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,131770.0,126864.0,4906.0,0.0,28.0,4878.0,-5339.0,91169.0,30556.0,60613.0,85436.0,5733.0,5733.0,0.0,2023|2024|2025,2026-04-11
831695862,NMC AUTO AS,47.810,AS,LILLESTRØM,1903,GAN,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,649892.0,775793.0,-125901.0,2117.0,43.0,-123827.0,-123476.0,177833.0,28533.0,149300.0,-92230.0,270063.0,270063.0,0.0,2023|2024|2025,2026-04-11
831697652,LIKA CARS OG TRANSPORT AS,47.810,AS,ULLENSAKER,2060,GARDERMOEN,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,6950496.0,6473424.0,477072.0,877.0,1317.0,476632.0,371863.0,2107219.0,,2107219.0,521856.0,1585363.0,635923.0,949440.0,2023|2024|2025,2026-04-11
831996862,STORSVE AUTO AS,47.810,AS,TRONDHEIM,7053,RANHEIM,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,254178.0,258950.0,-4772.0,0.0,614.0,-5386.0,-5387.0,168011.0,0.0,168011.0,168011.0,0.0,0.0,0.0,2023|2024|2025,2026-04-11
832233552,BRUKTBILISTEN AS,47.810,AS,TRONDHEIM,7093,TILLER,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,0.0,5218.0,-5218.0,0.0,0.0,-5218.0,-5218.0,1105.0,0.0,1105.0,1088.0,17.0,17.0,,2023|2024|2025,2026-04-11
833435582,DAYTONA BILSENTER AS,47.810,AS,DRAMMEN,3055,KROKSTADELVA,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,21986414.0,19634759.0,2351655.0,1146.0,251.0,2352550.0,1822602.0,4783152.0,0.0,4783152.0,2933517.0,1849635.0,749635.0,,2024|2025,2026-04-11
834024152,SM AUTO AS,47.810,AS,ARENDAL,4848,ARENDAL,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,3157200.0,3019309.0,137891.0,30.0,166.0,137755.0,107315.0,379910.0,253778.0,126132.0,73315.0,306596.0,306138.0,,,2026-04-11
834540282,PROFI-CAMPER BERGEN AS,46.710,AS,BERGEN,5131,NYBORG,16,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,168780429.0,163243407.0,5537021.0,15605.0,338725.0,5213902.0,4071942.0,34134466.0,2175000.0,31959466.0,8212108.0,25922358.0,25875859.0,,,2026-04-11
835281612,LIGHTS AUTO AS,47.810,AS,KRISTIANSAND,4626,KRISTIANSAND S,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,329188.0,222355.0,106833.0,,,106833.0,83330.0,192890.0,27500.0,165390.0,106830.0,86060.0,85290.0,770.0,2025,2026-04-11
835449912,VERU AS,47.810,AS,SARPSBORG,1739,BORGENHAUGEN,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,590498.0,581331.0,9166.0,,,9166.0,7149.0,192453.0,,192453.0,37149.0,155304.0,67739.0,87565.0,2025,2026-04-11
835780252,BOYER BIL AS,47.810,AS,SANDEFJORD,3160,STOKKE,,,False,2025,2025-05-27,2025-12-31,SELSKAP,store,13870607.0,12404417.0,1466190.0,247.0,0.0,1466437.0,1143822.0,3088467.0,93240.0,2995227.0,1173822.0,1914645.0,394442.0,1520203.0,2025,2026-04-11
839203772,ANDERSENS SPESIALPRODUKTER AS,47.810,AS,INDRE ØSTFOLD,1814,ASKIM,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,47053734.0,45979209.0,1074525.0,53769.0,173418.0,954876.0,954876.0,5991262.0,159475.0,5831787.0,4849571.0,1141691.0,1141691.0,,2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
843011322,HÅKON CAMPING AS,47.810,AS,ÅSNES,2270,FLISA,17,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,59375035.0,58561868.0,813167.0,163472.0,1997173.0,-1020534.0,-1020534.0,38067194.0,4993000.0,33074194.0,3489824.0,34577370.0,14881251.0,19696119.0,2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
880692062,TOMMY HOLTAN AS,47.810,AS,LARVIK,3263,LARVIK,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,1431694.0,952114.0,479580.0,0.0,415134.0,64446.0,50268.0,1102421.0,130787.0,971634.0,-38781.0,1141203.0,1112430.0,28773.0,2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
898434052,HYPER AS,47.810,AS,ÅS,1407,VINTERBRO,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,,,,,,,0.0,30000.0,30000.0,,30000.0,,,,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
898638162,SIGNATURE OSLO AUTO AS,47.810,AS,OSLO,1084,OSLO,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
911547082,AUTOZENTRUM JESSHEIM AS,47.810,AS,ULLENSAKER,2067,JESSHEIM,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,566357.0,719054.0,-152697.0,,,-152697.0,-103677.0,240493.0,50056.0,190437.0,114319.0,126174.0,126174.0,0.0,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
911837382,ESC AS,46.710,AS,OSLO,0766,OSLO,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,,163561.0,-163561.0,,,-163561.0,-272932.0,292283.0,108648.0,183635.0,192283.0,100000.0,100000.0,,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
911856255,BLI AS,47.810,AS,NORE OG UVDAL,3630,RØDBERG,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,4809499.0,4926903.0,-117404.0,35900.0,75299.0,-156803.0,-101838.0,3036619.0,902600.0,2134019.0,1045775.0,1990845.0,357896.0,,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
911880695,RANDERS AS,46.710,AS,SUNNDAL,6622,ÅLVUNDFJORD,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,1561026.0,1582796.0,-21770.0,99261.0,,77491.0,60519.0,3608527.0,,3608527.0,3314084.0,294443.0,294443.0,,2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
912160114,STENSBERG BIL AS,47.810,AS,ØSTRE TOTEN,2820,NORDRE TOTEN,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,18586937.0,17825699.0,761238.0,6393.0,121425.0,646207.0,646207.0,3999994.0,,3999994.0,2505518.0,1494476.0,573927.0,920549.0,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
912330028,TK BRUKT AS,47.810,AS,SANDNES,4318,SANDNES,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,26099744.0,24864148.0,1235596.0,172085.0,151609.0,1256073.0,979901.0,7529788.0,516017.0,7013771.0,6316415.0,1213374.0,1176516.0,36858.0,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
912367053,BIL 88 AS,47.810,AS,ALVER,5938,SÆBØVÅGEN,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,892500.0,920308.0,-27808.0,708.0,0.0,-27100.0,-21126.0,321393.0,5974.0,315419.0,277812.0,43581.0,43581.0,0.0,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
912448762,ENJO HOLDING AS,47.810,AS,SARPSBORG,1743,KLAVESTADHAUGEN,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,0.0,743766.0,-743766.0,0.0,-565895.0,-177871.0,-177871.0,1896940.0,262333.0,1634607.0,1725696.0,171244.0,1244.0,,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
912573710,CARAVANOMSETNING AS,47.810,AS,TRONDHEIM,7056,RANHEIM,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,8435833.0,0.0,1511833.0,0.0,0.0,1511255.0,1178436.0,4162708.0,823743.0,3338964.0,3742253.0,420455.0,420455.0,0.0,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
912683443,QUALITY CAR AS,47.810,AS,NARVIK,8540,BALLANGEN,,,False,2025,2025-01-01,2025-12-31,SELSKAP,store,6767213.0,7220707.0,-453493.0,112.0,173543.0,-626924.0,-626924.0,326627.0,0.0,326627.0,-537346.0,863973.0,863973.0,,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2026-04-11
