organisasjonsnummer,navn,naeringskode1,naeringskode1_beskrivelse,naeringskode2,naeringskode2_beskrivelse,naeringskode3,naeringskode3_beskrivelse,organisasjonsform,forretningsadresse,forretningsadresse_postnummer,forretningsadresse_poststed,forretningsadresse_kommune,forretningsadresse_kommunenummer,postadresse_postnummer,postadresse_poststed,antall_ansatte,stiftelsesdato,registreringsdato,hjemmeside,telefon,mobil,epostadresse,er_i_konsern,overordnet_enhet,kapital_belop,kapital_type,kapital_valuta,siste_innsendte_aarsregnskap,institusjonell_sektor,institusjonell_sektor_beskrivelse,registrert_i_mva,registrert_i_foretaksregisteret,konkurs,under_avvikling,under_tvangsavvikling,antall_underenheter,hentet_dato,oppstartsdato,nedleggelsesdato
811602582,KOKSTAD AUTOSENTER AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,,,26,,2013-02-21,,,,,,911577313,,,,,,,False,,,,,,2026-04-11,2013-03-01,
811676462,CMA BIL AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,,,,,2013-03-09,,,920 58 088,,,911650606,,,,,,,False,,,,,,2026-04-11,2013-03-07,
811877522,BLI AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2013-04-27,,,909 93 007,,,911856255,,,,,,,False,,,,,,2026-04-11,2013-04-16,
812803972,MYSEN AUTO V/FRANK STRANGSTAD,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,1851,MYSEN,,,2013-11-26,,,,,,853722022,,,,,,,False,,,,,,2026-04-11,2013-03-01,
813132532,BBM AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-01-27,,,,,,913059263,,,,,,,False,,,,,,2026-04-11,2014-01-05,
813384582,ODNES AUTOSALG EGIL LUNDBY,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-03-18,,,,,,957663141,,,,,,,False,,,,,,2026-04-11,2012-01-01,
813402882,HC FOSSUM AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-03-22,,,,,,913358554,,,,,,,False,,,,,,2026-04-11,2014-03-01,
813469642,RYGGE LAST OG BUSS AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-04-05,,,,,,913433157,,,,,,,False,,,,,,2026-04-11,2014-03-12,
813603802,ALT I ALT AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,12,,2014-05-14,www.altialt.no,90 87 50 71,,kevin@altialt.no,,915128963,,,,,,,False,,,,,,2026-04-11,2012-01-01,
813746212,VØYEN AUTO ADNAN IQBAL,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-06-11,,,400 84 842,,,913694449,,,,,,,False,,,,,,2026-04-11,2014-05-26,
813950952,IBOBIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,7492,TRONDHEIM,39,,2014-07-31,,95 43 43 56,970 65 599,post@icaravan.no,,913945794,,,,,,,False,,,,,,2026-04-11,2014-06-13,
813970082,TOYOTA SLETTUM BIL AS AVD OPPDAL BILSALG,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-08-05,,,,,,995153343,,,,,,,False,,,,,,2026-04-11,2014-01-01,
814219852,SBF DEKK & FELG AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,7712,STEINKJER,,,2014-09-29,,,,tommyderaas@hotmail.com,,914118980,,,,,,,False,,,,,,2026-04-11,2014-08-29,
814323242,BERGEN BILFORMIDLING AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,,,5,,2014-10-20,,,,,,914280176,,,,,,,False,,,,,,2026-04-11,2014-10-01,
814692132,THUNE HOLDING AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2014-12-21,,,,,,990137307,,,,,,,False,,,,,,2026-04-11,2013-01-01,
814760812,FJORDANE CARAVAN AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,6808,FØRDE,11,,2015-01-07,www.fjordanecaravan.no,,916 45 340,post@fjordanecaravan.no,,914579759,,,,,,,False,,,,,,2026-04-11,2014-12-03,
814995992,PITSTOP BILSALG NY AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-02-18,,,,,,932762900,,,,,,,False,,,,,,2026-04-11,2015-02-09,
814997642,AUTOZENTRUM BERGEN AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,36,,2015-02-18,www.porsche-bergen.no,55 16 16 16,,post@porsche-bergen.no,,914985153,,,,,,,False,,,,,,2026-04-11,2015-02-09,
815118812,NILSENS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-03-16,,,928 92 404,tjn1965@hotmail.com,,915089380,,,,,,,False,,,,,,2026-04-11,2015-03-06,
815124472,ØVERLAND SCOOTER OG ATV AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-03-17,scooterogatv.no,35 07 85 60,971 01 830,post@scooterogatv.no,,915066437,,,,,,,False,,,,,,2026-04-11,2015-03-12,
815226232,TEVO BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,7656,VERDAL,,,2015-04-13,,,,tevobil@tevodekk.no,,815192672,,,,,,,False,,,,,,2026-04-11,2015-03-05,
815333012,AUTOBUDGET AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,3702,SKIEN,11,,2015-05-04,,35 55 88 00,464 19 911,,,915327346,,,,,,,False,,,,,,2026-04-11,2015-04-13,
815368142,KG MOTOR AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,9,,2015-05-11,,,,,,915356559,,,,,,,False,,,,,,2026-04-11,2015-05-06,
815587162,MØLLER BIL BERGEN AS AVD BRUKTBILSENTER BERGEN,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,5852,BERGEN,17,,2015-06-25,,,,,,834083922,,,,,,,False,,,,,,2026-04-11,2015-06-01,
815745302,KJENDISBILER AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-08-05,,,,,,923207910,,,,,,,False,,,,,,2026-04-11,2015-05-10,
815757742,AK BIL & EIENDOMSERVICE NADEEM AKBAR,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,0131,OSLO,,,2015-08-10,,,,aknadeem1977@gmail.com,,915739792,,,,,,,False,,,,,,2026-04-11,2015-06-19,
815929322,NAMSEN AUTO TRONDHEIM,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-09-16,,90 92 29 99,,svein@namsenauto.no,,915912478,,,,,,,False,,,,,,2026-04-11,2015-09-16,
816106222,SENS BIL AS,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-10-21,,,,,,916092040,,,,,,,False,,,,,,2026-04-11,2015-10-09,
816152682,TØRSET TRADING AS,46.710,Engroshandel med motorvogner,,,,,BEDR,,,,,,,,,,2015-10-29,,,,,,916128525,,,,,,,False,,,,,,2026-04-11,2015-10-13,
816385342,DORTHEALYST DRIFT ODD EGIL STORBÆKKEN,47.810,Detaljhandel med motorvogner,,,,,BEDR,,,,,,7019,TRONDHEIM,,,2015-12-16,,,,,,980652793,,,,,,,False,,,,,,2026-04-11,2014-01-01,
